order_id,customer_id,order_date,country,n_lines,total_quantity,order_value_gbp,max_line_value_gbp,avg_unit_price,max_unit_price,min_unit_price,top_stock_code,top_category,top_description,returned,return_event_date,returned_units,log_order_value,avg_qty_per_line,price_spread,basket_concentration,hour,day_of_week,is_weekend,month,days_to_christmas,region,prior_orders,prior_returns_observed,is_new_customer,days_since_last_order,customer_tenure_days,prior_avg_order_value,prior_return_rate,discount_pct,category_return_rate,category_order_count
503705,135,2011-03-03 16:44:25.521298376,United Kingdom,4,8,29.23,11.76,4.1925,7.03,2.31,20099,200,ITEM 20099,0,,0.0,3.408834808791367,2.0,3.0432900432900434,0.4023263770099213,16,3,0,3,68,UK,3,1,0,17.372754768504212,387.6065560775438,44.43,0.3333333333333333,-0.1192801072180738,0.2016313677367254,1463.0
503418,244,2011-03-03 20:20:35.098232048,United Kingdom,4,13,34.0,22.56,2.34,2.82,1.64,20037,200,ITEM 20037,0,,0.0,3.5553480614894135,3.25,1.7195121951219512,0.6635294117647058,20,3,0,3,68,UK,4,2,0,39.112518369540645,347.29338060323033,73.3825,0.5,0.1627677911844373,0.2016313677367254,1463.0
501485,384,2011-03-03 21:55:24.556528608,United Kingdom,1,9,11.97,11.97,1.33,1.33,1.33,20021,200,ITEM 20021,0,,0.0,2.5626389983283526,9.0,1.0,1.0,21,3,0,3,68,UK,4,0,0,70.61594771885116,260.0707095828664,42.1475,0.0,0.6144927536231883,0.2016313677367254,1463.0
502975,61,2011-03-04 02:02:30.556287232,France,5,20,94.28999999999999,34.08,3.6979999999999995,5.68,1.51,20097,200,ITEM 20097,0,,0.0,4.556924873360097,4.0,3.7615894039735096,0.36143811644925233,2,4,0,3,69,EU,4,1,0,65.39106724141185,224.2327493057435,67.43499999999999,0.25,-0.3640506329113924,0.2016313677367254,1463.0
503982,45,2011-03-04 03:06:20.943811720,EIRE,5,27,82.74,41.94,2.648,4.66,1.72,20018,200,ITEM 20018,1,2011-03-21 12:11:20.972079129,9.0,4.4277167605909975,5.4,2.7093023255813953,0.5068890500362582,3,4,0,3,69,EU,7,1,0,1.7323602152396296,421.4299812071948,90.35285714285715,0.14285714285714285,0.128915091856609,0.2016313677367254,1463.0
503336,125,2011-03-04 07:47:51.840308760,France,3,9,20.9,13.2,2.1966666666666668,3.3,1.47,20072,200,ITEM 20072,0,,0.0,3.086486636822455,3.0,2.2448979591836733,0.631578947368421,7,4,0,3,69,EU,3,2,0,115.76044752556352,297.28542021808875,64.42,0.6666666666666666,0.38619676945668135,0.2016313677367254,1463.0
502695,420,2011-03-04 18:10:19.375482032,United Kingdom,1,11,5.83,5.83,0.53,0.53,0.53,20114,201,ITEM 20114,0,,0.0,1.9213246735826988,11.0,1.0,1.0,18,4,0,3,69,UK,4,2,0,10.459817597131712,413.1271036407091,80.63499999999999,0.5,0.8479196556671449,0.20019785329178413,295.0
503075,442,2011-03-04 20:17:46.833153784,United Kingdom,6,38,124.58,40.32,3.76,10.29,1.17,20060,200,ITEM 20060,0,,0.0,4.832943005685963,6.333333333333333,8.794871794871794,0.32364745545031304,20,4,0,3,69,UK,11,2,0,1.5874777757739815,360.67913779850187,80.0290909090909,0.18181818181818182,0.07012502332524717,0.2016313677367254,1463.0
502324,347,2011-03-04 22:22:05.142590984,Spain,1,5,28.0,28.0,5.6,5.6,5.6,20080,200,ITEM 20080,0,,0.0,3.367295829986474,5.0,1.0,1.0,22,4,0,3,69,EU,4,2,0,49.448066019134906,357.1393180341173,75.81250000000001,0.5,-0.674140508221226,0.2016313677367254,1463.0
501302,119,2011-03-05 06:13:12.007128072,Spain,5,35,228.60999999999999,92.8,6.4719999999999995,9.28,4.21,20045,200,ITEM 20045,0,,0.0,5.436382217503931,7.0,2.204275534441805,0.40593149905953374,6,5,1,3,70,EU,4,0,0,9.280933255706435,354.90284531113684,122.225,0.0,-0.9343402293015188,0.2016313677367254,1463.0
